id,Название,Цена,Цена без скидки
439794,"Конфеты КОРКУНОВ Ассорти из темного и молочного шоколада, 110г",19999,26999
441579,"Мармелад жевательный FRUIT-TELLA Крутой микс, 150г",10999,12999
441580,"Мармелад жевательный FRUIT-TELLA Крутой микс, 70г",5499,7499
442179,"Вафли РОТ ФРОНТ Коровка вкус топленое молоко, 300г",12499,19999
442185,"Вафли ЯШКИНО Шоколадные, 200г",6999,8499
443062,"Печенье OREO Шоколадный вкус, 95г",6999,9999
443063,"Печенье OREO Шоколадный вкус, 228г",14999,19999
443074,"Батончик шоколадный SNICKERS White, 81г",6499,8499
443260,"Рулет бисквитный ЯШКИНО с вареной сгущенкой, 200г",8499,9499
443261,"Рулет бисквитный ЯШКИНО Клубника со сливками, 200г",6999,9499
445300,"Конфеты КОРКУНОВ Ассорти из молочного шоколада, 110г",19999,26999
445362,"Пирог ЧЕРЕМУШКИ Сдобная Особа Австрийский штрудель вишня и ваниль, 400г",26499,26499
449008,"Жевательная резинка ORBIT Освежающий цитрус, 13,6г",4499,4499
449009,"Жевательная резинка ORBIT Белоснежный Сочное яблоко XXL, 20,4г",4499,5999
452046,"Ирис ЯШКИНО Тираженный с шоколадным вкусом, 140г",4999,5999
453254,"Мармелад жевательный КОНФИТРЕЙД Jelly bar со вкусом апельсина, банана, 
персика, яблока, 25г",2999,4499
454820,"Крекер ЯШКИНО Классический, 350г",9499,10999
459932,"Батончик шоколадный СЛАВЯНКА Золотой Степ, 50г",2999,3499
460534,"Конфеты СЛАВЯНКА Золотой Степ, 192г",13499,13499
463299,"Круассаны 7DAYS Mini с кремом какао, 105г",5499,7999
464171,"Торт ЧЕРЕМУШКИ Медовик, 480г",59999,59999
464929,"Конфеты АТАГ Закусон интеллигента, 100г",29999,29999
466659,"Десерт KONTI Бонжур со вкусом груши с французской ванилью, 232г",11999,16999
466757,"Вафли KDV Zebra с молочной шоколадной глазурью, 40г",3499,4499
467112,"Торт ФИЛИ-БЕЙКЕР Пломбир-классик, 720г",54999,54999
471634,"Печенье КП ПОЛЕТ овсяное Классическое на сливочном масле, 250г",14499,18999
477169,"Конфеты АККОНД Отломи вафельные глазированные, весовые",12498,12498
478103,"Пирог ЧЕРЕМУШКИ Сдобная Особа Австрийский штрудель клубника и пломбир, 400г",26499,26499
485226,"Паста шоколадно-арахисовая СЛАВЯНКА Золотой Степ, 220г",12999,16999
487484,"Батончик фруктово-злаковый БИОКЕЙ с клубникой и цельными злаками, 25г",2999,3999
492489,"Торт слоеный MIREL Наполеон классический, 550г",53999,53999
498164,"Шоколад молочный КОММУНАРКА Трюфельный элит, 200г",19999,19999
498624,"Мармелад жевательный БОН ПАРИ Кислые змейки, 120г",8499,13999
501388,"Конфеты АМАПОЛА вафельные глазированные Миндаль и кокос, 100г",15999,19999
502990,"Жевательная резинка MENTOS Pure fresh Тутти-Фрутти, 15,5г",5999,5999
503283,"Шоколад темный RITTER SPORT 61% какао, 100г",16999,24999
504014,"Конфеты RAFFAELLO с цельным миндальным орехом в кокосовой обсыпке, 70г",20499,20499
504067,"Шоколад темный RITTER SPORT 74% какао, 100г",16999,24999
505180,"Жевательная резинка ORBIT Белоснежный, банка, 68г",18999,22999
505448,"Конфеты НЕВСКИЙ КОНДИТЕР Темная ночь глазированные, весовые",7498,7498
506862,"Мармелад 365 ДНЕЙ Ассорти, 250г",6999,6999
507023,"Мармелад жевательный MAMBA Фрумеладки Фрукты и йогурт, 140г",15999,17499
507141,"Жевательная резинка MENTOS Pure white со вкусом клубники, 15,5г",5999,5999
508393,"Пирожные ДОБРЫНИНСКИЙ Мини Ассорти, 573г",89999,89999
508480,"Печенье ХВАТАЙ-КА овсяное Классическое, 400г",7499,8499
509530,"Шоколадные батончики SNICKERS Криспер Трио, 60г",5499,6499
510391,"Драже Ф.КРУПСКОЙ Белочка фундук в молочном шоколаде, 45г",5999,7999
512182,"Пряник ЯСНАЯ ПОЛЯНА Тульский со смородиновой начинкой, 140г",4999,8999
513184,"Батончик грильяжный KDV Крокант с миндалем в глазури, 28г",1099,1999
518915,"Конфеты жевательные MAMBA Волшебный твист ассорти, 150г",13499,17999
519227,"Шоколад темный RITTER SPORT Миндаль и апельсин, 100г",14999,18999
519510,"Мармелад жевательный SWEET BOX Zомбаки с игрушкой, 10г",19999,19999
521933,"Зефир КОНФИТРЕЙД Sweet bar косичка вкус клубники, 40г",10999,12999
523670,"Торт ФИЛИ-БЕЙКЕР Народная птичка классическая, 500г",43999,43999
527570,"Жевательная резинка DIROL со вкусом кокоса и клубники,без сахара , 13,6г",2499,3999
529746,"Печенье ЮБИЛЕЙНОЕ Витаминизированное молочное с глазурью, 232г",8999,11999
529771,"Печенье ЮБИЛЕЙНОЕ Витаминизированное с глазурью, 232г",8999,11999
532436,"Печенье OREO с какао и начинкой со вкусом клубники, 228г",14999,19999
533250,"Жевательная резинка MENTOS Pure fresh со вкусом винограда, 54г",12999,15999
535485,"Мармелад жевательный HARIBO Happy Cola, 80г",12999,15999
535547,"Мармелад жевательный HARIBO Червячки Wummis, 80г",12999,15999
537244,"Пирожное АМА Берлинское, 252г",16999,16999
537420,"Торт АМА Сказочка, 450г",35499,35499
538505,"Набор конфет Ф.КРУПСКОЙ Ассорти, 249г",32999,39499
538590,"Мармелад жевательный HARIBO Starmix, 80г",12999,15999
541782,"Печенье ORION Chocoboy, 135г",13999,13999
543578,"Жевательная резинка DIROL White с активированым углем, со вкусом мяты, 13,6г",2499,3999
543579,"Конфеты HALLS со вкусом колы, 25г",3499,4999
543875,"Шоколад молочный АЛЕНКА с разноцветным драже, 90г",8999,17999
544040,"Шоколад молочный АЛЕНКА с фундуком, 90г",8999,17999
547728,"Пирожное КОНТЕК Заварной Этюд, 400г",16999,17999
547790,"Батончик вафельный ДЖУМКА с мягкой карамелью и воздушной кукурузой, 37г",3499,4999
548558,"Конфеты шоколадные РОССИЯ ЩЕДРАЯ ДУША Родные Просторы с вафельной крошкой, 180г",19999,34999
549487,"Жевательная резинка ORBIT Абрикос, 13,6г",4499,4499
550441,"Конфеты шоколадные КОРКУНОВ Ореховая коллекция, 110г",19999,29499
550886,"Жевательная резинка MENTOS Pure fresh со вкусом винограда, 15,5г",5999,5999
551491,"Пряники LAMBERTZ Домино, 125г",17999,39999
553585,"Шоколад молочный МОНЕТНЫЙ ДВОР Новогодний, 12г",1499,2999
556421,"Конфеты АТАГ Забегай на чай, весовые",12498,12498
558293,"Шоколад молочный МОНЕТНЫЙ ДВОР Маша и Медведь, 12г",1499,1999
559467,"Вафли KDV FunBanan с банановым вкусом, 35г",2999,4999
560334,"Пирог СДОБНАЯ ОСОБА Кремобон классический, 380г",24499,24499
564559,"Жевательная резинка DIROL Маракуйя, 13,6г",2499,3999
565114,"Шоколад молочный CHIKALAB с фундуком, 100г",18999,20999
565883,"Мармелад жевательный CHUPA CHUPS Роллсы, 150г",17999,17999
567255,"Батончик SOJ Marshmallow с соленой карамелью в молочном шоколаде, 30г",5499,6999
567404,"Шоколад молочный MILKA с дробленым орехом, 85г",8999,13999
567414,"Шоколад молочный MILKA с двухслойной начинкой, клубничная и сливочная, 85г",8999,13999
567561,"Мармелад жевательный CHUPA CHUPS Роллсы, 70г",7999,9999
567759,"Шоколад темный RITTER SPORT Цельный миндаль, 100г",16999,24999
569148,"Пирожное бисквитное HIPPO BO с малиновой начинкой, 32г",1999,2499
569456,"Шоколад молочный РОССИЯ ЩЕДРАЯ ДУША, 82г",5999,9999
569457,"Шоколад темный РОССИЯ ЩЕДРАЯ ДУША Российский с миндалем, 82г",6499,9999
569514,"Шоколад темный РОССИЯ ЩЕДРАЯ ДУША, 82г",6499,9999
569516,"Шоколад молочный РОССИЯ ЩЕДРАЯ ДУША с карамелью и арахисом, 82г",5999,9999
569578,"Шоколад горький РОССИЯ ЩЕДРАЯ ДУША, 82г",6499,9999
569579,"Шоколад молочный РОССИЯ ЩЕДРАЯ ДУША Кофе с молоком, 82г",5999,9999
569632,"Пирожное У ПАЛЫЧА Картошка, 210г",27999,27999
569715,"Пирожное У ПАЛЫЧА Тет-а-тет, 270г",21999,21999
571216,"Мармелад жевательный MAMBA Фрумеладки сочный центр, 140г",15999,17499
571228,"Жевательная резинка DIROL Colors Фруктовый рандом, без сахара, 13,6г",2999,3999
571747,"Зефир БЕЛЁВСКАЯ ПАСТИЛЬНАЯ МАНУФАКТУРА Белевский Антоновка, 250г",21999,21999
572143,"Шоколад молочный АЛЁНКА Много молока, 90г",9999,17999
573943,"Крекер 365 ДНЕЙ Волшебный калейдоскоп, 200г",2999,2999
575942,"Пирожное MIREL Эклеры с заварным кремом, 250г",22499,22499
577553,"Печенье сдобное ХЛЕБНЫЙ СПАС Coffee Time крендельки со вкусом капучино и тростниковым сахаром, 320г",12999,19499
579819,"Печенье ЛЮБЯТОВО Мария традиционное, 156г",4499,6499
580825,"Шоколадные батончики SNICKERS Super, 80г",6499,8499
581126,"Драже SKITTLES Кисломикс, 70г",7499,8999
581216,"Драже SKITTLES Фрукты, 70г",7499,8999
582357,"Жевательная резинка ORBIT Refreshers Тропик, 16г",3999,5999
582488,"Жевательная резинка ORBIT Refreshers Мята, 16г",3999,5999
582746,"Мармелад CHUPA CHUPS Страйпсы, 120г",17999,17999
583451,"Мини-рулет бисквитный ЯШКИНО Клубничный, 35г",1799,1999
583789,"Тарты MIREL По-французски с заварным кремом, 280г",24999,24999
583798,"Торт MIREL Черничное молоко, 750г",55999,55999
584123,"Мармелад МАХЕЕВЪ Цитрусовый микс, 250г",7999,9999
